Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
17/03/1995;     65,73;          1,00200667;      13,6744368500576238;
20/03/1995;     65,73;          1,00200667;      13,7018769322515289;
21/03/1995;     65,73;          1,00200667;      13,7293720776351701;
22/03/1995;     65,73;          1,00200667;      13,7569223967021983;
23/03/1995;     65,73;          1,00200667;      13,7845280001679887;
24/03/1995;     65,73;          1,00200667;      13,8121889989700858;
27/03/1995;     65,73;          1,00200667;      13,8399055042686491;
28/03/1995;     65,59;          1,00200333;      13,8676314021625156;
29/03/1995;     65,59;          1,00200333;      13,8954128441794098;
30/03/1995;     65,59;          1,00200333;      13,9232499415925398;
31/03/1995;     65,73;          1,00200667;      13,9511893095528353;
03/04/1995;     85,74;          1,00246000;      13,9855092352543353;
04/04/1995;     85,58;          1,00245667;      14,0198670162273075;
05/04/1995;     85,43;          1,00245333;      14,0542623765742285;
06/04/1995;     85,43;          1,00245333;      14,0887421200905493;
07/04/1995;     85,43;          1,00245333;      14,1233064537960311;
10/04/1995;     85,43;          1,00245333;      14,1579555852183225;
11/04/1995;     85,43;          1,00245333;      14,1926897223942061;
12/04/1995;     85,43;          1,00245333;      14,2275090738708475;
17/04/1995;     85,58;          1,00245667;      14,2624613685873538;
18/04/1995;     85,43;          1,00245333;      14,2974518929367502;
19/04/1995;     85,43;          1,00245333;      14,3325282605892487;
20/04/1995;     85,43;          1,00245333;      14,3676906821468002;
24/04/1995;     85,58;          1,00245667;      14,4029873568149097;
25/04/1995;     85,43;          1,00245333;      14,4383226377870045;
26/04/1995;     85,43;          1,00245333;      14,4737446078639665;
27/04/1995;     85,43;          1,00245333;      14,5092534797227774;
28/04/1995;     85,43;          1,00245333;      14,5448494665621856;
02/05/1995;     61,34;          1,00190000;      14,5724846805486538;
03/05/1995;     61,21;          1,00189667;      14,6001238750677100;
04/05/1995;     61,21;          1,00189667;      14,6278154920178347;
05/05/1995;     61,21;          1,00189667;      14,6555596308270802;
